arm,display_name,initialization,refinement,task,n,mean_task_score,sample_sd_task_score,mean_generation_zero_task_score,sample_sd_generation_zero_task_score
create-mapqd-fixed,Create-MAPQDRefine-FixedST,Create,MAPQDRefine-FixedST,door_push,10,1.0,0.0,0.9975301481215855,0.005396906383943353
create-mapqd-fixed,Create-MAPQDRefine-FixedST,Create,MAPQDRefine-FixedST,grasp_place,10,0.4037094920070696,0.108947617263953,0.28787563937744926,0.07698665086771347
create-mapqd-fixed,Create-MAPQDRefine-FixedST,Create,MAPQDRefine-FixedST,obstacle_reach,10,0.9219325093730629,0.04798654499944611,0.8465716375048792,0.09177507950410574
create-mapqd-fixed,Create-MAPQDRefine-FixedST,Create,MAPQDRefine-FixedST,peg_channel,10,0.33356285384155593,0.2364260462281779,0.16183209412183241,0.21746825524853833
create-mapqd-fixed,Create-MAPQDRefine-FixedST,Create,MAPQDRefine-FixedST,peg_insert,10,0.9110233192286353,0.04658384206156437,0.8709320719556067,0.054531185114449814
create-mapqd-fixed,Create-MAPQDRefine-FixedST,Create,MAPQDRefine-FixedST,push_to_goal,10,0.8728436782137684,0.07210366761439008,0.7991205975300097,0.11667837248410902
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,10,0.9975301481215855,0.005396906383943353,0.9975301481215855,0.005396906383943353
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,grasp_place,10,0.28787563937744926,0.07698665086771347,0.28787563937744926,0.07698665086771347
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,obstacle_reach,10,0.8465716375048792,0.09177507950410574,0.8465716375048792,0.09177507950410574
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,peg_channel,10,0.16183209412183241,0.21746825524853833,0.16183209412183241,0.21746825524853833
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,peg_insert,10,0.8709320719556067,0.054531185114449814,0.8709320719556067,0.054531185114449814
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,10,0.7994539478846062,0.11621277927401547,0.7994539478846062,0.11621277927401547
random-bandit-fixed,Random-BanditRefine-FixedST,Random,BanditRefine-FixedST,door_push,10,0.6009965441238725,0.04644465547476419,0.3951315599781896,0.10251267537497585
random-bandit-fixed,Random-BanditRefine-FixedST,Random,BanditRefine-FixedST,grasp_place,10,0.2248964999267936,0.043671310207998755,0.16936082205710465,0.03085431438067519
random-bandit-fixed,Random-BanditRefine-FixedST,Random,BanditRefine-FixedST,obstacle_reach,10,0.16388808513152656,0.2600600045938224,1.79881445031102e-18,5.6883507510066014e-18
random-bandit-fixed,Random-BanditRefine-FixedST,Random,BanditRefine-FixedST,peg_channel,10,0.6014968614439746,0.28428986171028087,0.28117521231265047,0.2995864648611326
random-bandit-fixed,Random-BanditRefine-FixedST,Random,BanditRefine-FixedST,peg_insert,10,0.965609372791159,0.01794357559254606,0.9228434698050193,0.05502422556100178
random-bandit-fixed,Random-BanditRefine-FixedST,Random,BanditRefine-FixedST,push_to_goal,10,0.4508231198392753,0.42509080957324885,0.2710388741699304,0.3576748931447416
random-language-fixed,Random-LLMRefine-FixedST,Random,LLMRefine-FixedST,door_push,10,0.9979657245835317,0.0064329437041274334,0.35770451171940276,0.10167685479792352
random-language-fixed,Random-LLMRefine-FixedST,Random,LLMRefine-FixedST,grasp_place,10,0.7510958876263159,0.2964261431897269,0.18057106757546765,0.036064283397111256
random-language-fixed,Random-LLMRefine-FixedST,Random,LLMRefine-FixedST,obstacle_reach,10,0.9181163210477372,0.1177096522004533,1.264463918467906e-18,3.998586001460029e-18
random-language-fixed,Random-LLMRefine-FixedST,Random,LLMRefine-FixedST,peg_channel,10,0.5038994140560745,0.32954872679066116,0.2195007353098623,0.2637935073885825
random-language-fixed,Random-LLMRefine-FixedST,Random,LLMRefine-FixedST,peg_insert,10,0.9283721720741517,0.04422096403138328,0.6085867295757453,0.4140017173888362
random-language-fixed,Random-LLMRefine-FixedST,Random,LLMRefine-FixedST,push_to_goal,10,0.8877887333975752,0.09265690563268511,0.27139513366597573,0.3595986609414354
random-language-free,Random-LLMRefine-FreeST,Random,LLMRefine-FreeST,door_push,10,0.9678414962732513,0.07010396343397432,0.35770451171940276,0.10167685479792352
random-language-free,Random-LLMRefine-FreeST,Random,LLMRefine-FreeST,grasp_place,10,0.6437358293398385,0.33128315055554386,0.18057106757546765,0.036064283397111256
random-language-free,Random-LLMRefine-FreeST,Random,LLMRefine-FreeST,obstacle_reach,10,0.7906671705085674,0.2285419727872183,1.264463918467906e-18,3.998586001460029e-18
random-language-free,Random-LLMRefine-FreeST,Random,LLMRefine-FreeST,peg_channel,10,0.4898903941179141,0.2888109262396593,0.21987538572303678,0.2646211980096806
random-language-free,Random-LLMRefine-FreeST,Random,LLMRefine-FreeST,peg_insert,10,0.9023830754110808,0.05202622716855428,0.608585988975482,0.41400348768385087
random-language-free,Random-LLMRefine-FreeST,Random,LLMRefine-FreeST,push_to_goal,10,0.7650517233125328,0.1252190212289379,0.27126367912890526,0.3593826543606828
random-mapqd-fixed,Random-MAPQDRefine-FixedST,Random,MAPQDRefine-FixedST,door_push,10,0.5823060814113432,0.027490075353331596,0.3951315599781896,0.10251267537497585
random-mapqd-fixed,Random-MAPQDRefine-FixedST,Random,MAPQDRefine-FixedST,grasp_place,10,0.25602192840418875,0.0837630786852894,0.16936082205710465,0.03085431438067519
random-mapqd-fixed,Random-MAPQDRefine-FixedST,Random,MAPQDRefine-FixedST,obstacle_reach,10,0.10727681187668701,0.16960422990108892,1.79881445031102e-18,5.6883507510066014e-18
random-mapqd-fixed,Random-MAPQDRefine-FixedST,Random,MAPQDRefine-FixedST,peg_channel,10,0.6198529101832425,0.3547334919106109,0.2805147670231648,0.29957699157429485
random-mapqd-fixed,Random-MAPQDRefine-FixedST,Random,MAPQDRefine-FixedST,peg_insert,10,0.9675743760119934,0.016604186061044187,0.9228434698050193,0.05502422556100178
random-mapqd-fixed,Random-MAPQDRefine-FixedST,Random,MAPQDRefine-FixedST,push_to_goal,10,0.4841175653328585,0.41815763514920185,0.2710388741699304,0.3576748931447416
random-param-only-fixed,Random-ParamOnly-FixedST,Random,ParamOnly-FixedST,door_push,10,0.3951315599781896,0.10251267537497585,0.3951315599781896,0.10251267537497585
random-param-only-fixed,Random-ParamOnly-FixedST,Random,ParamOnly-FixedST,grasp_place,10,0.16936082205710465,0.03085431438067519,0.16936082205710465,0.03085431438067519
random-param-only-fixed,Random-ParamOnly-FixedST,Random,ParamOnly-FixedST,obstacle_reach,10,1.79881445031102e-18,5.6883507510066014e-18,1.79881445031102e-18,5.6883507510066014e-18
random-param-only-fixed,Random-ParamOnly-FixedST,Random,ParamOnly-FixedST,peg_channel,10,0.28011102897973117,0.2995783713130918,0.28011102897973117,0.2995783713130918
random-param-only-fixed,Random-ParamOnly-FixedST,Random,ParamOnly-FixedST,peg_insert,10,0.9228434698050193,0.05502422556100178,0.9228434698050193,0.05502422556100178
random-param-only-fixed,Random-ParamOnly-FixedST,Random,ParamOnly-FixedST,push_to_goal,10,0.2710388741699304,0.3576748931447416,0.2710388741699304,0.3576748931447416
scaffold-bandit-fixed,Scaffold-BanditRefine-FixedST,Scaffold,BanditRefine-FixedST,door_push,10,0.5683311177097147,0.05249586260118336,0.409022815035715,0.06471757795368106
scaffold-bandit-fixed,Scaffold-BanditRefine-FixedST,Scaffold,BanditRefine-FixedST,grasp_place,10,0.3594540395090033,0.11417754734147129,0.2415632384758976,0.11168295618426372
scaffold-bandit-fixed,Scaffold-BanditRefine-FixedST,Scaffold,BanditRefine-FixedST,obstacle_reach,10,0.12582752960045865,0.17990678209969255,0.06263803324589967,0.1320708357274365
scaffold-bandit-fixed,Scaffold-BanditRefine-FixedST,Scaffold,BanditRefine-FixedST,peg_channel,10,0.798568141568749,0.09967185976344137,0.44087614555320126,0.20239176969360487
scaffold-bandit-fixed,Scaffold-BanditRefine-FixedST,Scaffold,BanditRefine-FixedST,peg_insert,10,0.9466748845613315,0.02286392556761232,0.8447179673737428,0.023510365788983065
scaffold-bandit-fixed,Scaffold-BanditRefine-FixedST,Scaffold,BanditRefine-FixedST,push_to_goal,10,0.9096253652013677,0.036133794498156936,0.7956966516424693,0.08688159369669943
scaffold-language-fixed,Scaffold-LLMRefine-FixedST,Scaffold,LLMRefine-FixedST,door_push,10,0.9982165396869462,0.005639796705766927,0.3525008992903007,0.09220454882251514
scaffold-language-fixed,Scaffold-LLMRefine-FixedST,Scaffold,LLMRefine-FixedST,grasp_place,10,0.7630591832419455,0.23733944597516352,0.24254709473673391,0.0910933755383782
scaffold-language-fixed,Scaffold-LLMRefine-FixedST,Scaffold,LLMRefine-FixedST,obstacle_reach,10,0.9258487886563395,0.051808870189602445,0.061973752160709196,0.13065319059250355
scaffold-language-fixed,Scaffold-LLMRefine-FixedST,Scaffold,LLMRefine-FixedST,peg_channel,10,0.5958363466802172,0.20801763481363608,0.4561926027677056,0.2574406448367776
scaffold-language-fixed,Scaffold-LLMRefine-FixedST,Scaffold,LLMRefine-FixedST,peg_insert,10,0.8238651585964504,0.2922108387640515,0.00012407416933801763,0.0
scaffold-language-fixed,Scaffold-LLMRefine-FixedST,Scaffold,LLMRefine-FixedST,push_to_goal,10,0.8173376856136674,0.0784744097244564,0.7595734664891288,0.06780828260826191
scaffold-language-free,Scaffold-LLMRefine-FreeST,Scaffold,LLMRefine-FreeST,door_push,10,1.0,0.0,0.3525008992903007,0.09220454882251514
scaffold-language-free,Scaffold-LLMRefine-FreeST,Scaffold,LLMRefine-FreeST,grasp_place,10,0.8879498345468757,0.18773689362377705,0.24255884331706853,0.0910828633042264
scaffold-language-free,Scaffold-LLMRefine-FreeST,Scaffold,LLMRefine-FreeST,obstacle_reach,10,0.8949282692562338,0.11860135365415563,0.06455122841156236,0.13618059243485114
scaffold-language-free,Scaffold-LLMRefine-FreeST,Scaffold,LLMRefine-FreeST,peg_channel,10,0.5002170108469194,0.22382397732316192,0.45652119653606676,0.25797149873490743
scaffold-language-free,Scaffold-LLMRefine-FreeST,Scaffold,LLMRefine-FreeST,peg_insert,10,0.884925227374125,0.04525309001268815,0.00012407416933801763,0.0
scaffold-language-free,Scaffold-LLMRefine-FreeST,Scaffold,LLMRefine-FreeST,push_to_goal,10,0.7980562618673813,0.07334831369549097,0.7580349037220491,0.06604222349236141
scaffold-mapqd-fixed,Scaffold-MAPQDRefine-FixedST,Scaffold,MAPQDRefine-FixedST,door_push,10,0.5826949561886133,0.05593719999705971,0.409022815035715,0.06471757795368106
scaffold-mapqd-fixed,Scaffold-MAPQDRefine-FixedST,Scaffold,MAPQDRefine-FixedST,grasp_place,10,0.3667356114136077,0.07761167955032611,0.2415632384758976,0.11168295618426372
scaffold-mapqd-fixed,Scaffold-MAPQDRefine-FixedST,Scaffold,MAPQDRefine-FixedST,obstacle_reach,10,0.16641093316234018,0.19139823764737474,0.062266206309470475,0.1318188082280701
scaffold-mapqd-fixed,Scaffold-MAPQDRefine-FixedST,Scaffold,MAPQDRefine-FixedST,peg_channel,10,0.8125456951624509,0.11514540294527355,0.44087614555320126,0.20239176969360487
scaffold-mapqd-fixed,Scaffold-MAPQDRefine-FixedST,Scaffold,MAPQDRefine-FixedST,peg_insert,10,0.9319622877893545,0.024806946144893042,0.8447179673737428,0.023510365788983065
scaffold-mapqd-fixed,Scaffold-MAPQDRefine-FixedST,Scaffold,MAPQDRefine-FixedST,push_to_goal,10,0.894306621111963,0.054257488914272026,0.7956966516424693,0.08688159369669943
scaffold-param-only-fixed,Scaffold-ParamOnly-FixedST,Scaffold,ParamOnly-FixedST,door_push,10,0.409022815035715,0.06471757795368106,0.409022815035715,0.06471757795368106
scaffold-param-only-fixed,Scaffold-ParamOnly-FixedST,Scaffold,ParamOnly-FixedST,grasp_place,10,0.2415632384758976,0.11168295618426372,0.2415632384758976,0.11168295618426372
scaffold-param-only-fixed,Scaffold-ParamOnly-FixedST,Scaffold,ParamOnly-FixedST,obstacle_reach,10,0.06389321042964535,0.13471566554397912,0.06389321042964535,0.13471566554397912
scaffold-param-only-fixed,Scaffold-ParamOnly-FixedST,Scaffold,ParamOnly-FixedST,peg_channel,10,0.44087614555320126,0.20239176969360487,0.44087614555320126,0.20239176969360487
scaffold-param-only-fixed,Scaffold-ParamOnly-FixedST,Scaffold,ParamOnly-FixedST,peg_insert,10,0.8447179673737428,0.023510365788983065,0.8447179673737428,0.023510365788983065
scaffold-param-only-fixed,Scaffold-ParamOnly-FixedST,Scaffold,ParamOnly-FixedST,push_to_goal,10,0.7956966516424693,0.08688159369669943,0.7956966516424693,0.08688159369669943
